Produktname,Speicher,Preis_EUR
Transcend MTE250S SSD 2TB,2TB,146.1
Corsair Force Series MP600 Pro NH 4TB,4TB,342.86
Transcend MSA220S 256GB,256GB,30.31
Seagate Game Drive M.2 SSD for PS5 1TB,1TB,145.09
Western Digital WD Green SN350 NVMe SSD 250GB,250GB,29.72
Corsair Force Series MP700 PRO SE 2TB,2TB,263.19
Transcend MTE255S SSD 2TB,2TB,142.28
Transcend MTE712P SSD 2TB,2TB,351.93
Transcend MTE245S SSD 1TB,1TB,81.82
Corsair Force Series MP600 Micro R2 2TB,2TB,193.5
TeamGroup MP44 8TB,8TB,809.0
Transcend MTE400S SSD 2TB,2TB,172.68
Corsair Force Series MP700 PRO SE 4TB,4TB,544.54
ADATA Ultimate SU650 256GB,256GB,21.24
Solidigm SSD D5-P5316 30.72TB,72TB,3293.69
Western Digital WD_BLACK SN850 NVMe SSD 1TB,1TB,235.96
Kingston SSDNow KC600 1024GB,1024GB,93.76
Samsung OEM Enterprise SSD PM1735 1.6TB,6TB,592.72
Samsung OEM Client SSD PM9A1 2TB,2TB,193.24
Integral M3 PLUS Series M.2 2280 PCIe NVMe SSD 2TB,2TB,114.45
Western Digital WD_BLACK SN850X NVMe SSD 1TB,1TB,119.98
ADATA XPG Gammix S55 512GB,512GB,50.9
Raspberry Pi SSD 256GB,256GB,34.18
Micron 2500 512GB,512GB,53.14
Samsung OEM Enterprise SSD PM1643a 1.92TB,92TB,485.45
Samsung OEM Enterprise SSD PM1643a 3.84TB,84TB,840.45
Transcend MTE310S SSD 512GB,512GB,65.83
Transcend MTE310S SSD 1TB,1TB,99.95
TeamGroup CX2 SSD 512GB,512GB,33.67
Intenso Performance SSD 128GB,128GB,14.1
Micron 7450 MAX - 3DWPD Mixed Use 6.4TB,4TB,1161.05
Western Digital WD_BLACK SN750 NVMe SSD 1TB,1TB,125.52
KIOXIA CD8-R Data Center - 1DWPD Read Intensive SSD 15.36TB,36TB,1812.91
Kingston SSDNow KC600 2048GB,2048GB,166.78
Apacer AS2280P4 256GB,256GB,20.9
Transcend MTS430S SSD 128GB,128GB,24.85
Corsair Force Series MP600 Elite 2TB,2TB,154.99
Intenso Top Performance SSD 256GB,256GB,15.42
Kingston DC600ME Data Center Series Mixed-Use SSD - 1DWPD 480GB,480GB,96.28
Kingston DC600ME Data Center Series Mixed-Use SSD - 1DWPD 3.84TB,84TB,463.18
"Solidigm SSD D3-S4520 2.5"" 3.84TB",84TB,524.71
HP SSD S650 240GB,240GB,33.91
Western Digital WD_BLACK SN8100 NVMe SSD 2TB,2TB,287.38
Western Digital WD_BLACK SN850X NVMe SSD 8TB,8TB,738.62
TeamGroup T-Force GE PRO 2TB,2TB,218.89
Transcend MTE400S SSD 256GB,256GB,40.61
Transcend MTE250H SSD 2TB,2TB,169.31
Corsair Force Series MP700 PRO 2TB,2TB,271.15
MSI Spatium M560 1TB,1TB,115.86
MSI Spatium M560 2TB,2TB,206.61
Acer Predator GM7000 SSD 2TB,2TB,184.53
PNY CS900 250GB,250GB,16.18
ADATA XPG Gammix S70 Blade 4096GB,4096GB,306.23
Transcend MTS425S SSD 1TB,1TB,80.88
Intenso High Performance SSD 960GB,960GB,49.61
Samsung OEM Datacenter SSD PM897 1.92TB,92TB,433.76
Micron 7450 MAX - 3DWPD Mixed Use 400GB,400GB,157.2
Micron 7450 MAX - 3DWPD Mixed Use 1.6TB,6TB,372.62
Micron 7450 MAX - 3DWPD Mixed Use 3.2TB,2TB,623.29
Transcend MTE410S SSD 256GB,256GB,41.55
KIOXIA EXCERIA Heatsink SSD 1024GB,1024GB,68.85
KIOXIA EXCERIA Heatsink SSD 2048GB,2048GB,120.97
Corsair Force Series MP600 Core XT 2TB,2TB,134.99
Transcend SSD225S 500GB,500GB,39.7
Transcend MTE115S SSD 500GB,500GB,42.25
KIOXIA EXCERIA SSD 480GB,480GB,30.15
MSI Spatium M480 Pro 2TB,2TB,152.23
Transcend MTE712A SSD 256GB,256GB,61.69
Transcend MTE712A SSD 512GB,512GB,93.77
Transcend MTE662T2 SSD 128GB,128GB,63.52
Transcend MTS820S SSD 480GB,480GB,46.4
PNY XLR8 CS3140 1TB,1TB,81.28
Transcend SSD220Q 500GB,500GB,41.74
Corsair Force Series MP600 Micro R2 1TB,1TB,104.27
Intenso High Performance SSD 240GB,240GB,16.61
Transcend MSA230S 256GB,256GB,31.87
Transcend MTE300S SSD 256GB,256GB,40.65
Transcend MSA230S 128GB,128GB,23.32
Transcend MTS830S SSD 4TB,4TB,337.64
"Solidigm SSD D3-S4620 2.5"" 1.92TB",92TB,418.04
SanDisk DC SN861 7.68TB,68TB,955.63
Lexar NQ710 500GB,500GB,41.54
Transcend MTS425S SSD 250GB,250GB,26.36
PNY CS2140 1TB,1TB,64.0
PNY CS1030 1TB,1TB,63.07
Seagate Nytro 3050 - 1DWPD 3350 Scaled Endurance 15.36TB,36TB,4258.87
Samsung OEM Datacenter SSD PM9A3 960GB,960GB,208.1
PNY CS2150 2TB,2TB,188.32
HP SSD S650 120GB,120GB,18.23
Samsung OEM Enterprise SSD PM1653 15.36TB,36TB,2389.63
ADATA LEGEND 900 PRO 1TB,1TB,68.89
Solidigm SSD D7-P5520 7.68TB,68TB,962.62
Transcend SSD225S 250GB,250GB,28.76
KIOXIA CD8-R Data Center - 1DWPD Read Intensive SSD 7.68TB,68TB,1015.45
SanDisk SSD Plus 240GB,240GB,23.19
Transcend MTE115S SSD 250GB,250GB,26.87
Intenso Top Performance SSD 128GB,128GB,9.97
Lexar NQ100 240GB,240GB,20.16
Kingston SSDNow KC600 1024GB,1024GB,87.57
ADATA XPG Gammix S70 Blade 2048GB,2048GB,138.05
ADATA XPG Gammix S50 Core 1TB,1TB,69.69
"Solidigm SSD D3-S4520 2.5"" 960GB",960GB,213.71
Corsair Force Series MP600 Pro LPX White 4TB,4TB,369.0
Corsair Force Series MP600 Pro 2TB,2TB,239.0
Verbatim Vi550 S3 SSD 4TB,4TB,241.01
Corsair Force Series MP600 Pro XT 1TB,1TB,95.7
PNY CS3150 Black 2TB,2TB,305.88
PNY CS3150 White 2TB,2TB,306.18
MSI Spatium S270 240GB,240GB,17.08
PNY XLR8 CS3150 2TB,2TB,312.18
Corsair Force Series MP700 PRO SE Hydro X 2TB,2TB,312.82
Samsung OEM Enterprise SSD PM1653 7.68TB,68TB,1192.9
Transcend MSA230S 512GB,512GB,51.73
SanDisk DC SN861 3.84TB,84TB,589.96
Micron 5400 PRO - Read Intensive 480GB,480GB,128.49
Samsung Enterprise SSD PM893 7.68TB,68TB,1366.12
Kingston A400 SSD 240GB,240GB,25.01
goodram PX500 GEN.3 2TB,2TB,146.57
GIGABYTE AORUS Gen5 14000 SSD 4TB,4TB,438.79
Silicon Power Ace A55 2TB,2TB,114.89
KIOXIA CD8P-V Data Center - 3DWPD Mixed Use SSD 1.6TB,6TB,489.02
KIOXIA CD8P-V Data Center - 3DWPD Mixed Use SSD 12.8TB,8TB,1967.57
SanDisk Ultra NVMe SSD 500GB,500GB,46.99
Silicon Power Ace A55 4TB,4TB,261.07
Micron 5400 PRO - Read Intensive 7.68TB,68TB,1043.32
Samsung Enterprise SSD PM893 960GB,960GB,232.84
Samsung OEM Client SSD PM9A1 256GB,256GB,94.69
Integral V Serie SSD V2 2TB,2TB,110.41
Corsair Force Series MP600 Elite für PS5 1TB,1TB,87.63
Transcend MSA230S 64GB,64GB,18.78
Patriot P400 V4 4TB,4TB,239.36
Micron 5400 PRO - Read Intensive 960GB,960GB,185.26
Corsair Force Series MP600 Pro LPX Black 4TB,4TB,344.87
Intenso Performance SSD 500GB,500GB,34.79
Micron 7450 PRO - 1DWPD Read Intensive 3.84TB,84TB,519.97
Patriot P220 256GB,256GB,18.9
Patriot P220 512GB,512GB,30.9
goodram SSD IRDM Pro Gen5 M.2 2TB,2TB,278.99
TeamGroup MP44L 2TB,2TB,120.81
Corsair Force Series MP600 Core XT 4TB,4TB,291.43
Patriot Viper PV553 4TB,4TB,634.0
PNY CS3150 Black 1TB,1TB,177.17
GIGABYTE SSD 480GB,480GB,30.49
KIOXIA CM7-V Enterprise - 3DWPD Mixed Use SSD 1.6TB,6TB,789.0
GIGABYTE AORUS Gen4 5000E SSD 500GB,500GB,43.99
GIGABYTE AORUS Gen4 5000E SSD 1TB,1TB,74.88
Intenso Top Performance SSD 512GB,512GB,28.53
Mushkin ELEMENT 2.5 4TB,4TB,222.82
Micron 7450 PRO - 1DWPD Read Intensive 1.92TB,92TB,431.94
Transcend MTE410S SSD 512GB,512GB,66.38
Solidigm SSD D7-P5520 15.36TB,36TB,1754.51
goodram PX600 1TB,1TB,71.65
Seagate Game Drive PS5 NVMe SSD 2TB,2TB,186.07
Western Digital WD_BLACK AN1500 1TB,1TB,95.27
Transcend MTE245S SSD 4TB,4TB,275.0
"Solidigm SSD D3-S4520 2.5"" 7.68TB",68TB,918.88
GIGABYTE NVMe SSD M.2 2280 512GB,512GB,46.4
Micron 5400 MAX - Mixed Use 480GB,480GB,156.74
Integral M.2 22x42 128GB,128GB,19.11
Patriot P310 1.92TB,92TB,119.98
Western Digital WD_BLACK SN850X NVMe SSD 1TB,1TB,101.71
SanDisk PLUS SSD 250GB,250GB,29.71
Transcend SSD220Q 1TB,1TB,65.56
Integral M.2 2230 NVMe SSD Gen4 1TB,1TB,81.63
Integral M.2 2230 NVMe SSD Gen4 2TB,2TB,160.29
Micron 7450 PRO - 1DWPD Read Intensive 1.92TB,92TB,281.01
Samsung OEM Datacenter SSD PM9A3 960GB,960GB,188.41
KIOXIA CD8-R Data Center - 1DWPD Read Intensive SSD 3.84TB,84TB,589.27
KIOXIA PM7-V Enterprise - 3DWPD Mixed Use SSD 3.2TB,2TB,863.83
KIOXIA PM7-V Enterprise - 3DWPD Mixed Use SSD 6.4TB,4TB,1455.13
HP SSD FX900 Plus M.2 512GB,512GB,54.36
ADATA LEGEND 900 PRO 2TB,2TB,119.89
HP SSD S700 1TB,1TB,60.18
Verbatim Vi560 S3 SSD 256GB,256GB,17.04
"Solidigm SSD D3-S4620 2.5"" 480GB",480GB,207.09
KIOXIA CM7-R Enterprise - 1DWPD Read Intensive SSD 3.84TB,84TB,796.48
PNY CS2230 1TB,1TB,64.91
"Solidigm SSD D3-S4520 2.5"" 240GB",240GB,119.92
HP SSD EX900 M.2 500GB,500GB,40.62
Micron 2400 2TB,2TB,155.77
Western Digital Ultrastar DC SN650 - 1DWPD 7.68TB,68TB,848.78
MSI Spatium M470 Pro 1TB,1TB,70.57
KIOXIA PM7-R Enterprise - 1DWPD Read Intensive SSD 7.68TB,68TB,1398.43
Transcend MTS420S SSD 240GB,240GB,23.17
Emtec X150 SSD Power Plus 120GB,120GB,10.84
Crucial P3 SSD 500GB,500GB,42.9
Emtec X150 SSD Power Plus 960GB,960GB,55.91
Transcend UTE210T 512GB,512GB,216.8
ADATA XPG SX8100 2TB,2TB,300.23
ADATA LEGEND 710 512GB,512GB,31.9
Samsung Enterprise SSD PM893 1.92TB,92TB,380.35
Samsung Enterprise SSD PM9A3 960GB,960GB,237.89
Samsung OEM Datacenter SSD PM883 240GB,240GB,90.35
Intenso Top Performance SSD 512GB,512GB,29.18
Emtec X250 SSD Power Plus 1TB,1TB,59.28
Corsair Force Series MP600 Pro XT Hydro X 4TB,4TB,354.96
Micron 9550 MAX - 3DWPD Mixed Use 6.4TB,4TB,1394.62
Western Digital WD_BLACK SN850 NVMe SSD 500GB,500GB,94.1
Transcend MTE112S SSD 1TB,1TB,76.57
KIOXIA BG5 Client SSD 512GB,512GB,85.89
Mushkin ELEMENT 2.5 1TB,1TB,53.53
Intenso Top Performance SSD 256GB,256GB,16.34
PNY CS2230 500GB,500GB,39.02
Apacer AS2280Q4U 512GB,512GB,43.9
Micron 7450 MAX - 3DWPD Mixed Use 1.6TB,6TB,382.0
TeamGroup MP33 2TB,2TB,105.89
Western Digital WD_BLACK SN850 NVMe SSD 1TB,1TB,176.01
Western Digital Ultrastar DC SN655 - 1DWPD 3.84TB,84TB,536.05
Transcend MTS825S SSD 250GB,250GB,26.89
KIOXIA CM7-R Enterprise - 1DWPD Read Intensive SSD 15.36TB,36TB,2714.38
Samsung OEM Datacenter SSD PM897 480GB,480GB,175.39
Patriot Viper PV553 1TB,1TB,191.89
Verbatim Vi7000G PCIe NVMe SSD 1TB,1TB,66.45
KIOXIA CM7-R Enterprise - 1DWPD Read Intensive SSD 7.68TB,68TB,1328.36
Micron 7450 PRO - 1DWPD Read Intensive 480GB,480GB,153.97
Micron 7450 PRO - 1DWPD Read Intensive 7.68TB,68TB,1034.62
Transcend MTS430S SSD 512GB,512GB,46.61
Transcend MTS425S SSD 500GB,500GB,43.0
Transcend MTS825S SSD 500GB,500GB,45.32
Transcend MTS825S SSD 1TB,1TB,73.53
Micron 7500 PRO - 1DWPD Read-Intensive 7.68TB,68TB,946.18
Intenso Performance SSD 1TB,1TB,64.49
Micron 7450 MAX - 3DWPD Mixed Use 800GB,800GB,240.94
Western Digital WD Blue SN570 NVMe SSD 250GB,250GB,44.38
Patriot P220 2TB,2TB,108.47
Samsung OEM Client SSD PM9A1a 2TB,2TB,218.1
KIOXIA CD8P-R Data Center - 1DWPD Read Intensive SSD 7.68TB,68TB,1039.03
Transcend MTS830S SSD 512GB,512GB,52.11
HP SSD EX950 M.2 2TB,2TB,151.03
Silicon Power UD85 250GB,250GB,35.03
Lexar Professional NM1090 PRO 1TB,1TB,138.32
Lexar Professional NM710 500GB,500GB,45.88
Micron 9400 PRO - 1DWPD Read Intensive 15.36TB,36TB,2455.6
Samsung OEM Datacenter SSD PM897 3.84TB,84TB,690.87
Transcend MTS430S SSD 256GB,256GB,32.12
Western Digital PC SA530 3D NAND SATA SSD 1TB,1TB,259.87
Seagate BarraCuda Q5 SSD +Rescue 2TB,2TB,205.04
Western Digital Ultrastar DC SN655 - 1DWPD 7.68TB,68TB,990.47
MediaRange MR1021 128GB,128GB,15.03
Transcend PCIe SSD 110Q 512GB,512GB,44.49
Samsung OEM Enterprise SSD PM1643a 960GB,960GB,412.02
Transcend MTE240S SSD 1TB,1TB,92.45
Transcend MSA370S 256GB,256GB,118.96
Lexar Professional NM800 Pro 512GB,512GB,70.89
Emtec X160 SSD Power Plus 2TB,2TB,110.96
Samsung OEM Datacenter SSD PM9A3 1.92TB,92TB,355.0
Micron 7450 PRO - 1DWPD Read Intensive 3.84TB,84TB,574.27
Verbatim Vi5000 PCIe NVMe SSD 512GB,512GB,43.34
Transcend SSD470P-I 512GB,512GB,132.04
Seagate IronWolf 525 - 0.7DWPD NAS SSD +Rescue 2TB,2TB,521.64
TeamGroup T-Force G70 PRO 2TB,2TB,131.89
Lexar Professional NM1090 2TB,2TB,258.0
Micron 2400 1TB,1TB,88.01
Silicon Power P34A60 2TB,2TB,151.92
HP SSD S700 500GB,500GB,37.19
PNY CS900 500GB,500GB,31.94
Western Digital WD_BLACK SN850 NVMe SSD 500GB,500GB,118.11
Micron 7500 PRO - 1DWPD Read-Intensive 3.84TB,84TB,519.78
ADATA XPG Gammix S60 2TB,2TB,114.89
Solidigm SSD D5-P5430 15.36TB,36TB,1622.48
KIOXIA CD8-R Data Center - 1DWPD Read Intensive SSD 1.92TB,92TB,390.21
Silicon Power XPOWER XS70 1TB,1TB,99.21
PNY XLR8 CS3140 4TB,4TB,322.37
Transcend MTE110S SSD 256GB,256GB,26.55
MSI Spatium M450 500GB,500GB,49.52
KIOXIA PM7-V Enterprise - 3DWPD Mixed Use SSD 1.6TB,6TB,538.88
KIOXIA PM7-V Enterprise - 3DWPD Mixed Use SSD 12.8TB,8TB,2865.28
Western Digital Ultrastar DC SN655 - 1DWPD 15.38TB,38TB,1686.47
Western Digital WD_BLACK SN8100 NVMe SSD 1TB,1TB,196.63
TeamGroup T-Force GE PRO 4TB,4TB,427.99
Transcend MTE110S SSD 1TB,1TB,63.91
Micron 9550 MAX - 3DWPD Mixed Use 3.2TB,2TB,769.0
Transcend MSA372M 64GB,64GB,62.34
Silicon Power UD85 2TB,2TB,118.79
LC-Power Phoenix Serie SSD 480GB,480GB,43.9
Sabrent Rocket 2230 1TB,1TB,179.66
Crucial T705 SSD 2TB,2TB,269.38
Corsair Force Series MP600 Core XT 1TB,1TB,74.99
Micron 7500 PRO - 1DWPD Read-Intensive 960GB,960GB,197.71
HP SSD EX950 M.2 1TB,1TB,82.8
Transcend MTE112S SSD 512GB,512GB,45.88
Samsung OEM Datacenter SSD PM893 480GB,480GB,110.71
ADATA XPG Gammix S60 1TB,1TB,64.89
Silicon Power UD90 1TB,1TB,67.83
Seagate FireCuda 530 Heatsink SSD +Rescue 1TB,1TB,123.46
Seagate Game Drive PS5 NVMe SSD 1TB,1TB,119.99
Western Digital WD Green SATA SSD 480GB,480GB,49.74
Samsung Enterprise SSD PM893 240GB,240GB,102.4
Transcend Industrial PSD330 32GB,32GB,57.14
ADATA LEGEND 860 1TB,1TB,63.89
Mushkin Endora 4TB,4TB,246.07
Transcend MSA370S 64GB,64GB,40.58
KIOXIA CD8P-R Data Center - 1DWPD Read Intensive SSD 30.72TB,72TB,4461.1
Micron 7450 PRO - 1DWPD Read Intensive 960GB,960GB,233.9
Micron 7450 PRO - 1DWPD Read Intensive 1.92TB,92TB,314.36
TeamGroup T-Force G70 PRO 4TB,4TB,284.99
Transcend MTE300S SSD 1TB,1TB,93.13
Transcend Industrial MTE672A-I SSD 2TB,2TB,339.0
ADATA LEGEND 900 1TB,1TB,68.89
Transcend SSD220Q 2TB,2TB,126.28
Micron 7500 MAX - 3DWPD Mixed Use 800GB,800GB,244.63
Transcend MTE110S SSD 512GB,512GB,40.95
Transcend MTE250S SSD 1TB,1TB,107.86
Micron 5400 PRO - Read Intensive 240GB,240GB,94.58
Micron 7500 MAX - 3DWPD Mixed Use 6.4TB,4TB,1163.62
GIGABYTE SSD 240GB,240GB,15.9
Corsair Force Series MP700 PRO 4TB,4TB,650.41
Verbatim Vi550 S3 SSD 256GB,256GB,17.9
Western Digital Ultrastar DC SN630 - 0.8DWPD 1.92TB,92TB,341.58
Silicon Power UD90 500GB,500GB,56.89
ADATA LEGEND 860 500GB,500GB,38.29
Patriot Burst Elite 120GB,120GB,12.9
ADATA Ultimate SU650 256GB,256GB,20.79
Silicon Power US75 2TB,2TB,154.11
goodram SSD IRDM PRO SLIM 4TB,4TB,352.17
Kingston NV2 NVMe PCIe 4.0 SSD 250GB,250GB,33.18
Samsung Enterprise SSD PM9A3 7.68TB,68TB,1379.85
ADATA Ultimate SU650 2TB,2TB,110.49
Silicon Power XD80 512GB,512GB,45.36
Samsung OEM Datacenter SSD PM9D3a 1.92TB,92TB,324.5
Integral P Series 5 128GB,128GB,25.18
Western Digital WD Green SN350 NVMe SSD 960GB,960GB,74.06
Transcend MTS830S SSD 256GB,256GB,34.57
Corsair Force Series MP600 Pro LPX Black 8TB,8TB,954.33
goodram SSD IRDM Pro Gen5 M.2 4TB,4TB,558.99
Micron 9400 PRO - 1DWPD Read Intensive 30.72TB,72TB,4476.85
TeamGroup MP33 512GB,512GB,36.99
Lexar NS100 256GB,256GB,20.99
Lexar NS100 512GB,512GB,33.49
TeamGroup MP44 4TB,4TB,242.9
Lexar NS100 1TB,1TB,61.57
Micron 7500 MAX - 3DWPD Mixed Use 12.8TB,8TB,3221.09
Transcend MTS820S SSD 960GB,960GB,73.6
Patriot P400 Lite 500GB,500GB,45.05
PNY CS1030 250GB,250GB,23.85
Micron 7500 MAX - 3DWPD Mixed Use 800GB,800GB,366.62
ADATA XPG Gammix S70 Blade 512GB,512GB,59.89
ADATA XPG Spectrix S20G 1TB,1TB,62.9
Silicon Power P34A60 1TB,1TB,59.76
Micron 3500 1TB,1TB,108.59
Solidigm SSD D3-S4520 480GB,480GB,199.71
Samsung Enterprise SSD PM893 480GB,480GB,121.15
Samsung Enterprise SSD PM893 3.84TB,84TB,678.29
Samsung Enterprise SSD PM9A3 1.92TB,92TB,441.55
PNY XLR8 CS3140 2TB,2TB,163.06
HP SSD EX900 Plus M.2 256GB,256GB,41.03
Patriot P400 V4 1TB,1TB,66.94
TeamGroup T-Force GC PRO 4TB,4TB,407.99
Patriot P300 128GB,128GB,15.76
Innovation IT Performance 512GB,512GB,29.63
Integral P Series 5 1TB,1TB,82.9
Philips S130 Ultra Speed Internal SSD 480GB,480GB,30.27
Patriot P220 128GB,128GB,13.39
Patriot P220 1TB,1TB,54.08
ADATA LEGEND 800 500GB,500GB,42.25
KIOXIA CD8P-V Data Center - 3DWPD Mixed Use SSD 3.2TB,2TB,620.0
Mushkin Element NVMe SSD 4TB,4TB,242.38
Lexar Professional NM760 1TB,1TB,90.06
Transcend SSD230S 1TB,1TB,77.93
Emtec X150 SSD Power Plus 2TB,2TB,110.86
Emtec X300 SSD Power Pro 2TB,2TB,127.32
Seagate BarraCuda SATA SSD 960GB,960GB,92.9
Verbatim Vi550 S3 SSD 512GB,512GB,31.16
Patriot P400 Lite 250GB,250GB,43.94
TeamGroup MP33 256GB,256GB,22.99
Transcend SSD230S 512GB,512GB,47.68
TeamGroup T-Force Cardea Graphene A440 2TB,2TB,136.89
ADATA XPG Gammix S70 Blade 1024GB,1024GB,81.57
Innovation IT SuperiorQ 512GB,512GB,28.9
Micron 7450 PRO - 1DWPD Read Intensive 7.68TB,68TB,1053.9
Integral M.2 22x80 2020 512GB,512GB,52.22
Silicon Power UD90 2TB,2TB,122.11
ADATA LEGEND 970 PRO 2TB,2TB,194.9
Seagate Nytro 3050 - 10DWPD 3750 Write Intensive 3.2TB,2TB,2233.96
Integral Advantage Pro-2 M.2 2280 PCIe NVMe SSD 4TB,4TB,312.59
KIOXIA PM7-R Enterprise - 1DWPD Read Intensive SSD 30.72TB,72TB,6245.57
Corsair Force Series MP600 R2 1TB,1TB,79.72
Acer FA200 M.2 SSD 2TB,2TB,153.02
Patriot P210 1TB,1TB,51.33
Emtec X150 SSD Power Plus 4TB,4TB,240.18
Integral M.2 22x42 256GB,256GB,26.17
HP SSD S700 250GB,250GB,24.33
Transcend SSD230S 2TB,2TB,153.15
HP SSD EX900 M.2 250GB,250GB,24.1
Transcend Industrial MTE662T-I SSD 1TB,1TB,266.22
Integral Advantage Pro-1 M.2 2280 PCIe NVMe SSD 1TB,1TB,87.68
Lexar NM620 256GB,256GB,25.2
Patriot Burst Elite 960GB,960GB,52.34
Intel Optane SSD DC P4800X 750GB,750GB,2533.17
Integral M.2 2230 NVMe SSD Gen3 256GB,256GB,39.28
Corsair Force Series MP600 Core XT 2TB,2TB,139.88
Mushkin Element NVMe SSD 2TB,2TB,110.9
Seagate Nytro 3031 - 0.7DWPD 3131 Read Intensive 15.36TB,36TB,4242.88
Emtec X300 SSD Power Pro 128GB,128GB,22.4
OWC Aura Pro 3 1TB,1TB,112.84
Patriot P320 256GB,256GB,22.9
Transcend MTS820S SSD 240GB,240GB,25.63
ADATA LEGEND 800 1TB,1TB,63.43
Integral M2 Series M.2 2280 PCIe NVMe SSD 250GB,250GB,21.13
Transcend MTE425S SSD 2TB,2TB,162.88
GIGABYTE Gen3 2500E SSD 2TB,2TB,119.89
Crucial BX500 480GB,480GB,40.33
HP SSD FX900 Pro M.2 2TB,2TB,162.05
Integral M.2 2242 NVMe SSD Gen3 256GB,256GB,34.85
Transcend MTE712P SSD 256GB,256GB,99.82
Corsair Force Series MP600 GS 2TB,2TB,182.9
GIGABYTE AORUS Gen5 12000 SSD 1TB,1TB,159.28
Transcend SSD452K2 512GB,512GB,134.38
Corsair Force Series MP600 Pro XT 4TB,4TB,336.81
Transcend MTS420S SSD 480GB,480GB,39.65
Patriot Viper VP4000 Mini 2TB,2TB,191.06
Silicon Power P34A60 256GB,256GB,25.44
HP SSD S650 480GB,480GB,55.24
HP SSD S700 120GB,120GB,17.78
Crucial T700 SSD 1TB,1TB,147.88
Emtec X150 SSD Power Plus 480GB,480GB,37.26
Integral M.2 2230 NVMe SSD Gen3 512GB,512GB,62.52
Patriot P310 480GB,480GB,35.79
Micron 7450 PRO - 1DWPD Read Intensive 960GB,960GB,228.99
Emtec X250 SSD Power Plus 256GB,256GB,21.03
Emtec X250 SSD Power Plus 512GB,512GB,34.55
Micron 9550 MAX - 3DWPD Mixed Use 12.8TB,8TB,3274.54
Philips M140 500GB,500GB,41.19
MSI Spatium M461 4TB,4TB,419.0
Emtec X150 SSD Power Plus 240GB,240GB,22.25
Integral mSATA MO-300 SSD 2020 256GB,256GB,28.18
Silicon Power UD85 500GB,500GB,44.36
Emtec X250 SSD Power Plus 128GB,128GB,13.67
Samsung OEM Client SSD PM9B1 512GB,512GB,59.27
MEGA Electronics Fastro MS300 SSD 2TB,2TB,190.16
TeamGroup MP44 2TB,2TB,127.13
MSI Spatium M580 FROZR 2TB,2TB,322.37
Transcend SSD230S 128GB,128GB,25.09
Silicon Power P34A60 512GB,512GB,37.71
Seagate Nytro 5050 - 3DWPD 5550H Mixed Workloads 1.6TB,6TB,369.0
Patriot P400 V4 500GB,500GB,46.47
Western Digital PC SA510 SSD 500GB,500GB,118.76
Lexar NQ100 1.92TB,92TB,106.85
OWC Aura Pro 3 2TB,2TB,221.73
KIOXIA XG8 Client SSD 4TB,4TB,819.0
Silicon Power P34A80 512GB,512GB,44.81
TeamGroup T-Force G70 PRO 2TB,2TB,128.9
Crucial P310 SSD 1TB,1TB,70.9
Patriot P320 1TB,1TB,57.66
Corsair Force Series MP600 Pro XT Hydro X 2TB,2TB,201.58
TeamGroup T-Force G50 1TB,1TB,71.89
Transcend MTE352T SSD 512GB,512GB,91.99
Transcend MTE712P SSD 512GB,512GB,140.21
V7 NVME Gen4x4 2TB,2TB,147.55
goodram SSD IRDM PRO SLIM 2TB,2TB,163.05
TeamGroup T-Force Vulcan Z SSD 256GB,256GB,20.79
